level,belief,relative_commitment_offset,n_states,n_probe_rows,mean_entropy_bits,median_entropy_bits
family,door,3,44,44,0.07946532014715647,0.053320380988587004
family,key,3,44,44,0.11782986291411933,0.0121858894046856
family,wall,3,44,176,0.46918916236188485,0.4013236324667844
family,door,4,43,43,0.08480499855215191,0.0535466651866067
family,key,4,43,43,0.10054256694470126,0.0172010837887889
family,wall,4,43,172,0.46736082667226025,0.40852981500950014
family,door,5,38,38,0.08462525719670212,0.06028558276565335
family,key,5,38,38,0.1151174769159125,0.01548297875371105
family,wall,5,38,152,0.4658988520823868,0.40510387246002194
family,door,6,38,38,0.09995021883182927,0.04985953950685035
family,key,6,38,38,0.13455828882234958,0.020811484738602
family,wall,6,38,152,0.48371690530770534,0.4053303406172166
family,door,7,36,36,0.09383678688753613,0.061166056436610855
family,key,7,36,36,0.11124702308594824,0.0170439897602079
family,wall,7,36,144,0.46606896575777473,0.4313316905881057
family,door,8,35,35,0.098363030467186,0.0642213497318624
family,key,8,35,35,0.10030699392832845,0.018768510083593
family,wall,8,35,140,0.4730644053183641,0.4013236097984403
family,door,9,35,35,0.09273651952488829,0.0601906892343318
family,key,9,35,35,0.11347055816694379,0.0100045920281723
family,wall,9,35,140,0.487494632725498,0.4085477014171521
family,door,10,33,33,0.09320230108852053,0.0720406402081906
family,key,10,33,33,0.13615569101804972,0.0150602063981342
family,wall,10,33,132,0.48617761082246636,0.4360097665608119
granular,door_open,-10,44,44,0.08757621470107112,0.0667190725029489
granular,has_key,-10,44,44,0.11463181895541896,0.030413337542621002
granular,wall_down,-10,44,44,0.5208291511323156,0.49739829017499454
granular,wall_left,-10,44,44,0.7001338878084179,0.6652771570459434
granular,wall_right,-10,44,44,0.576767485625975,0.5107690125104525
granular,wall_up,-10,44,44,0.5719140698633794,0.4936673277677702
granular,door_open,-9,44,44,0.0947352181309998,0.06418482203425825
granular,has_key,-9,44,44,0.11989605109525427,0.0360115732585311
granular,wall_down,-9,44,44,0.5053644680842736,0.49918601544786984
