event_family,target_shift_type,question_id,question_family,n_events,n_candidate_belief_shifts,events_with_leading_shift,leading_event_coverage,events_with_coincident_shift,coincident_event_coverage,events_with_lagging_shift,lagging_event_coverage,events_with_any_nearby_shift,any_nearby_event_coverage,shifts_followed_by_target_event,leading_indicator_precision,leading_indicator_false_alarm_rate
optimal_to_suboptimal,belief_error_onset,hit_wall_after_up,action_effects,12,45,1,0.08333333333333333,0,0.0,1,0.08333333333333333,2,0.16666666666666666,1,0.022222222222222223,0.9777777777777777
optimal_to_suboptimal,belief_error_onset,wall_down,wall_directional,12,45,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,wall_left,wall_directional,12,12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,wall_right,wall_directional,12,6,0,0.0,0,0.0,1,0.08333333333333333,1,0.08333333333333333,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,wall_up,wall_directional,12,36,0,0.0,1,0.08333333333333333,3,0.25,3,0.25,1,0.027777777777777776,0.9722222222222222
suboptimal_to_optimal,belief_error_recovery,agent_location,coordinates,15,33,0,0.0,0,0.0,1,0.06666666666666667,1,0.06666666666666667,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,door_open,core,15,97,4,0.26666666666666666,1,0.06666666666666667,2,0.13333333333333333,7,0.4666666666666667,5,0.05154639175257732,0.9484536082474226
suboptimal_to_optimal,belief_error_recovery,door_open_after_down,action_effects,15,6,2,0.13333333333333333,0,0.0,1,0.06666666666666667,3,0.2,2,0.3333333333333333,0.6666666666666667
suboptimal_to_optimal,belief_error_recovery,door_open_after_left,action_effects,15,9,1,0.06666666666666667,0,0.0,2,0.13333333333333333,3,0.2,1,0.1111111111111111,0.8888888888888888
suboptimal_to_optimal,belief_error_recovery,door_open_after_right,action_effects,15,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,door_open_after_up,action_effects,15,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,goal_location,coordinates,15,10,1,0.06666666666666667,1,0.06666666666666667,1,0.06666666666666667,2,0.13333333333333333,1,0.1,0.9
suboptimal_to_optimal,belief_error_recovery,has_key,core,15,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,has_key_after_down,action_effects,15,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,has_key_after_left,action_effects,15,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,has_key_after_right,action_effects,15,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,has_key_after_up,action_effects,15,7,1,0.06666666666666667,1,0.06666666666666667,1,0.06666666666666667,3,0.2,1,0.14285714285714285,0.8571428571428572
suboptimal_to_optimal,belief_error_recovery,hit_wall_after_down,action_effects,15,16,0,0.0,1,0.06666666666666667,1,0.06666666666666667,2,0.13333333333333333,1,0.0625,0.9375
suboptimal_to_optimal,belief_error_recovery,hit_wall_after_left,action_effects,15,14,2,0.13333333333333333,1,0.06666666666666667,3,0.2,6,0.4,3,0.21428571428571427,0.7857142857142857
suboptimal_to_optimal,belief_error_recovery,hit_wall_after_right,action_effects,15,14,1,0.06666666666666667,0,0.0,1,0.06666666666666667,2,0.13333333333333333,1,0.07142857142857142,0.9285714285714286
suboptimal_to_optimal,belief_error_recovery,hit_wall_after_up,action_effects,15,45,1,0.06666666666666667,0,0.0,2,0.13333333333333333,2,0.13333333333333333,1,0.022222222222222223,0.9777777777777777
suboptimal_to_optimal,belief_error_recovery,wall_down,wall_directional,15,46,1,0.06666666666666667,1,0.06666666666666667,1,0.06666666666666667,1,0.06666666666666667,2,0.043478260869565216,0.9565217391304348
suboptimal_to_optimal,belief_error_recovery,wall_left,wall_directional,15,13,1,0.06666666666666667,0,0.0,0,0.0,1,0.06666666666666667,1,0.07692307692307693,0.9230769230769231
suboptimal_to_optimal,belief_error_recovery,wall_right,wall_directional,15,6,0,0.0,0,0.0,1,0.06666666666666667,1,0.06666666666666667,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,wall_up,wall_directional,15,37,0,0.0,0,0.0,2,0.13333333333333333,2,0.13333333333333333,0,0.0,1.0
