question_id,representation,progress_bucket_10,n_positions,accuracy,balanced_accuracy
wall_right,last_token,2,77,0.4805194805194805,0.4733242134062927
wall_right,last_token,3,68,0.6176470588235294,0.6120313862249346
wall_right,last_token,4,67,0.4626865671641791,0.45967741935483875
wall_right,last_token,5,69,0.4782608695652174,0.466893039049236
wall_right,last_token,6,67,0.417910447761194,0.41801075268817206
wall_right,last_token,7,68,0.5588235294117647,0.5579773321708805
wall_right,last_token,8,77,0.5064935064935064,0.4904240766073872
wall_right,last_token,9,65,0.5076923076923077,0.5019157088122606
wall_right,last_token,10,48,0.6458333333333334,0.6381118881118881
wall_right,sentence_mean,0,48,0.5,0.5034965034965035
wall_right,sentence_mean,1,65,0.6615384615384615,0.664272030651341
wall_right,sentence_mean,2,77,0.6103896103896104,0.6080711354309165
wall_right,sentence_mean,3,68,0.6764705882352942,0.6791630340017437
wall_right,sentence_mean,4,67,0.6268656716417911,0.6191756272401434
wall_right,sentence_mean,5,69,0.4782608695652174,0.4787775891341256
wall_right,sentence_mean,6,67,0.5671641791044776,0.5591397849462365
wall_right,sentence_mean,7,68,0.4852941176470588,0.47994768962510903
wall_right,sentence_mean,8,77,0.5324675324675324,0.5321477428180574
wall_right,sentence_mean,9,65,0.6307692307692307,0.6130268199233717
wall_right,sentence_mean,10,48,0.5625,0.5611888111888111
wall_up,boundary_window_mean,0,48,0.5833333333333334,0.4052631578947368
wall_up,boundary_window_mean,1,65,0.6923076923076923,0.5707282913165266
wall_up,boundary_window_mean,2,77,0.7532467532467533,0.626647834274953
wall_up,boundary_window_mean,3,68,0.5441176470588235,0.46855345911949686
wall_up,boundary_window_mean,4,67,0.5671641791044776,0.6212938005390836
wall_up,boundary_window_mean,5,69,0.5652173913043478,0.5860849056603774
wall_up,boundary_window_mean,6,67,0.373134328358209,0.41981132075471694
wall_up,boundary_window_mean,7,68,0.5,0.5119496855345912
wall_up,boundary_window_mean,8,77,0.5064935064935064,0.4463276836158192
wall_up,boundary_window_mean,9,65,0.5230769230769231,0.48879551820728295
wall_up,boundary_window_mean,10,48,0.6041666666666666,0.4552631578947368
wall_up,last_token,0,48,0.6041666666666666,0.5289473684210526
wall_up,last_token,1,65,0.6615384615384615,0.4992997198879552
wall_up,last_token,2,77,0.6883116883116883,0.6228813559322034
wall_up,last_token,3,68,0.5735294117647058,0.5352201257861635
wall_up,last_token,4,67,0.47761194029850745,0.4858490566037736
wall_up,last_token,5,69,0.4492753623188406,0.48879716981132076
wall_up,last_token,6,67,0.44776119402985076,0.4407008086253369
wall_up,last_token,7,68,0.47058823529411764,0.44528301886792454
wall_up,last_token,8,77,0.4805194805194805,0.44868173258003763
wall_up,last_token,9,65,0.6307692307692307,0.5833333333333333
wall_up,last_token,10,48,0.625,0.5052631578947369
wall_up,sentence_mean,0,48,0.6041666666666666,0.5289473684210526
wall_up,sentence_mean,1,65,0.6461538461538462,0.5154061624649859
wall_up,sentence_mean,2,77,0.6883116883116883,0.6421845574387948
wall_up,sentence_mean,3,68,0.5588235294117647,0.4540880503144654
wall_up,sentence_mean,4,67,0.5373134328358209,0.49730458221024254
wall_up,sentence_mean,5,69,0.463768115942029,0.4545990566037736
wall_up,sentence_mean,6,67,0.44776119402985076,0.3618598382749326
wall_up,sentence_mean,7,68,0.5294117647058824,0.4830188679245283
wall_up,sentence_mean,8,77,0.4025974025974026,0.30131826741996237
wall_up,sentence_mean,9,65,0.5384615384615384,0.4726890756302521
wall_up,sentence_mean,10,48,0.5,0.3894736842105263
