event_family,target_shift_type,question_id,question_family,n_events,n_candidate_belief_shifts,events_with_leading_shift,leading_event_coverage,events_with_coincident_shift,coincident_event_coverage,events_with_lagging_shift,lagging_event_coverage,events_with_any_nearby_shift,any_nearby_event_coverage,shifts_followed_by_target_event,leading_indicator_precision,leading_indicator_false_alarm_rate
optimal_to_suboptimal,belief_error_onset,has_key_after_up,action_effects,129,12,2,0.015503875968992248,2,0.015503875968992248,1,0.007751937984496124,5,0.03875968992248062,3,0.25,0.75
optimal_to_suboptimal,belief_error_onset,hit_wall_after_down,action_effects,129,113,8,0.06201550387596899,4,0.031007751937984496,7,0.05426356589147287,19,0.14728682170542637,10,0.08849557522123894,0.911504424778761
optimal_to_suboptimal,belief_error_onset,hit_wall_after_left,action_effects,129,155,19,0.14728682170542637,8,0.06201550387596899,14,0.10852713178294573,34,0.26356589147286824,22,0.14193548387096774,0.8580645161290322
optimal_to_suboptimal,belief_error_onset,hit_wall_after_right,action_effects,129,194,9,0.06976744186046512,8,0.06201550387596899,12,0.09302325581395349,27,0.20930232558139536,16,0.08247422680412371,0.9175257731958762
optimal_to_suboptimal,belief_error_onset,hit_wall_after_up,action_effects,129,253,12,0.09302325581395349,3,0.023255813953488372,13,0.10077519379844961,25,0.1937984496124031,15,0.05928853754940711,0.9407114624505929
optimal_to_suboptimal,belief_error_onset,key_location,coordinates,129,12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,wall_down,wall_directional,129,191,12,0.09302325581395349,4,0.031007751937984496,13,0.10077519379844961,25,0.1937984496124031,16,0.08376963350785341,0.9162303664921466
optimal_to_suboptimal,belief_error_onset,wall_left,wall_directional,129,24,1,0.007751937984496124,3,0.023255813953488372,1,0.007751937984496124,5,0.03875968992248062,4,0.16666666666666666,0.8333333333333334
optimal_to_suboptimal,belief_error_onset,wall_right,wall_directional,129,25,3,0.023255813953488372,3,0.023255813953488372,4,0.031007751937984496,7,0.05426356589147287,6,0.24,0.76
optimal_to_suboptimal,belief_error_onset,wall_up,wall_directional,129,114,5,0.03875968992248062,4,0.031007751937984496,5,0.03875968992248062,12,0.09302325581395349,9,0.07894736842105263,0.9210526315789473
suboptimal_to_optimal,belief_error_recovery,agent_location,coordinates,135,308,16,0.11851851851851852,11,0.08148148148148149,20,0.14814814814814814,37,0.2740740740740741,23,0.07467532467532467,0.9253246753246753
suboptimal_to_optimal,belief_error_recovery,door_location,coordinates,135,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,door_open,core,135,645,38,0.2814814814814815,13,0.0962962962962963,49,0.362962962962963,77,0.5703703703703704,51,0.07906976744186046,0.9209302325581395
suboptimal_to_optimal,belief_error_recovery,door_open_after_down,action_effects,135,23,1,0.007407407407407408,0,0.0,0,0.0,1,0.007407407407407408,1,0.043478260869565216,0.9565217391304348
suboptimal_to_optimal,belief_error_recovery,door_open_after_left,action_effects,135,12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,door_open_after_right,action_effects,135,17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,door_open_after_up,action_effects,135,19,1,0.007407407407407408,0,0.0,2,0.014814814814814815,3,0.022222222222222223,1,0.05263157894736842,0.9473684210526316
suboptimal_to_optimal,belief_error_recovery,goal_location,coordinates,135,149,8,0.05925925925925926,3,0.022222222222222223,12,0.08888888888888889,18,0.13333333333333333,11,0.0738255033557047,0.9261744966442953
suboptimal_to_optimal,belief_error_recovery,has_key,core,135,43,3,0.022222222222222223,2,0.014814814814814815,6,0.044444444444444446,8,0.05925925925925926,5,0.11627906976744186,0.8837209302325582
suboptimal_to_optimal,belief_error_recovery,has_key_after_down,action_effects,135,29,2,0.014814814814814815,0,0.0,1,0.007407407407407408,3,0.022222222222222223,2,0.06896551724137931,0.9310344827586207
