transition_family,model_type,reference_type,roc_auc_difference,brier_score_difference,log_loss_difference,n_paired_rows,roc_auc_difference_ci_low,roc_auc_difference_ci_high,brier_score_difference_ci_low,brier_score_difference_ci_high,log_loss_difference_ci_low,log_loss_difference_ci_high
optimal_to_suboptimal,combined,baseline,0.03394644457723339,0.00014507086509886122,0.0007181483130153377,3427,-0.012654059316515618,0.057355262666436035,-4.371503664938811e-06,0.00031260923559800225,-0.0005863801892087618,0.0022295044669065145
optimal_to_suboptimal,belief_action_chain,prevalence_baseline,0.10247049596653723,0.0001520744057460846,0.0004037918729012241,3427,0.05707760416212908,0.1613786864016583,-3.508315845112426e-05,0.00036021205726565126,-0.0017478922820081332,0.0024870047144814286
optimal_to_suboptimal,belief_action_chain,baseline,0.033027711383328384,0.00014564490356145515,0.0007080413281714687,3427,-0.014427984871490995,0.056610718654602765,2.2113876115255888e-07,0.0003037401459241138,-0.0004527020899198996,0.0020142742717727258
suboptimal_to_optimal,baseline,prevalence_baseline,0.16558956916099776,0.003427892824364287,-0.003382814364968678,504,0.0897699104274896,0.33771673799670276,-0.02908088414804529,0.019253060207694437,-0.08316066082832545,0.04033400197053438
suboptimal_to_optimal,global_beliefs,prevalence_baseline,0.25836167800453513,-0.024084283717465516,-0.05584931780372537,504,0.18118938983039615,0.3280185207528957,-0.06037637998768958,-0.015420512431308975,-0.1653393072709976,-0.030872112603708125
suboptimal_to_optimal,global_beliefs,baseline,0.09277210884353737,-0.027512176541829803,-0.052466503438756695,504,-0.031389585662909086,0.14180626330497115,-0.04484891584321815,-0.0050243063867291314,-0.10585104718233693,-0.004118318051994651
suboptimal_to_optimal,belief_dynamics,prevalence_baseline,0.1828798185941043,0.0022558458329295927,-0.006976794694508404,504,0.11704829804765945,0.34423156863363746,-0.032776711518540905,0.019245716862129957,-0.09146090302152315,0.039694317429355266
suboptimal_to_optimal,belief_dynamics,baseline,0.01729024943310653,-0.0011720469914346943,-0.0035939803295397255,504,-0.0007135837849771423,0.03602921037296047,-0.00576581485592956,0.00031719067997823536,-0.019423714654336267,0.0013916946905142306
suboptimal_to_optimal,global_beliefs_and_dynamics,prevalence_baseline,0.2501984126984127,-0.0192838242001261,-0.04447285249738603,504,0.18821514848287138,0.3293085920414178,-0.06047446652793198,-0.008827177179313096,-0.1607323201218913,-0.011503430395273635
suboptimal_to_optimal,global_beliefs_and_dynamics,baseline,0.08460884353741494,-0.022711717024490388,-0.04109003813241735,504,-0.026184392126272882,0.12398760592244629,-0.03965716016028132,-0.0047873440734878675,-0.09902619727674632,-0.0074572573523699615
suboptimal_to_optimal,action_conditioned,prevalence_baseline,0.15943877551020413,0.014178865971244042,0.02125037469350466,504,0.07022012380080295,0.3384769197180319,-0.03531341414182003,0.04023875865196104,-0.09765558641659938,0.08824890951304491
suboptimal_to_optimal,action_conditioned,baseline,-0.006150793650793629,0.010750973146879755,0.024633189058473337,504,-0.036577804023340724,0.02877436521609829,-0.009452923291645907,0.02151264634162113,-0.023298814770904813,0.04977417832187772
suboptimal_to_optimal,combined,prevalence_baseline,0.23568594104308394,-0.017152805357871545,-0.04116473140786531,504,0.17438039805654604,0.3180716440823721,-0.05872901976832692,-0.007251709357303588,-0.1414627498751187,-0.013052828934282928
suboptimal_to_optimal,combined,baseline,0.07009637188208617,-0.020580698182235832,-0.03778191704289663,504,-0.04855361995914991,0.11962295412653146,-0.0344520799373951,-0.002410405113221055,-0.07881791215759551,-0.00018304924032163034
suboptimal_to_optimal,belief_action_chain,prevalence_baseline,0.23197278911564623,-0.015515743068807625,-0.03550367823772066,504,0.17269004832147763,0.31808555608233463,-0.05719377342139672,-0.005278514986740663,-0.13709792275409685,-0.005118473565254751
suboptimal_to_optimal,belief_action_chain,baseline,0.06638321995464846,-0.018943635893171912,-0.03212086387275198,504,-0.05236760088959075,0.11001606846708763,-0.03215726444627784,-0.0033027373668113916,-0.07168252849748734,-0.00011104804392639002
