transition_family,model_type,reference_type,roc_auc_difference,brier_score_difference,log_loss_difference,n_paired_rows,roc_auc_difference_ci_low,roc_auc_difference_ci_high,brier_score_difference_ci_low,brier_score_difference_ci_high,log_loss_difference_ci_low,log_loss_difference_ci_high
optimal_to_suboptimal,belief_action_chain,prevalence_baseline,0.06017539241960179,0.00017476326747289939,0.0009487312377350621,5384,-0.038000364654777845,0.21322710795390684,-0.00037214152889473876,0.0007360151753497394,-0.00530767964000362,0.007413634607105721
optimal_to_suboptimal,belief_action_chain,baseline,-0.04329656393568149,0.00023874195257050923,0.0024670776229158697,5384,-0.10328429982044826,0.03747531905071899,-0.00024197736438813064,0.0007278789000502717,-0.002128286515641834,0.00752108097065498
suboptimal_to_optimal,baseline,prevalence_baseline,-0.1158627217981511,0.0008318197593857324,0.004466725005497552,1608,-0.24291276927079192,-0.05266392043105328,0.0003075477824332016,0.0017692113654455845,0.0015779576761808633,0.009438152697365131
suboptimal_to_optimal,global_beliefs,prevalence_baseline,-0.02653118769007673,0.0033968781640668355,0.01569481013280455,1608,-0.16874813382576254,0.02805267063366978,0.0010950319860076672,0.008691485908620757,0.008064646465391807,0.033054910331358246
suboptimal_to_optimal,global_beliefs,baseline,0.08933153410807437,0.002565058404681103,0.011228085127306997,1608,0.025381608966944996,0.12828183438957882,0.000392619531345206,0.007658646218001456,0.004351270711416834,0.025876019495912693
suboptimal_to_optimal,belief_dynamics,prevalence_baseline,-0.1245574107268736,0.0011372008443840953,0.0067225048132703025,1608,-0.24089686445905248,-0.06539864150269117,0.0005053416647744366,0.002080716581468873,0.0026600324548954695,0.013671982327793363
suboptimal_to_optimal,belief_dynamics,baseline,-0.008694688928722494,0.0003053810849983629,0.002255779807772751,1608,-0.020684388483807842,0.0044530397216964385,-3.02948440828999e-05,0.0007465766033509166,-0.00020946986924839648,0.007594553280134445
suboptimal_to_optimal,global_beliefs_and_dynamics,prevalence_baseline,-0.027610722845461344,0.0036897873365202283,0.017458807341588833,1608,-0.1595298568399993,0.028688986668039686,0.0014874566071994,0.008904655248048421,0.009322075242950843,0.036417705369607006
suboptimal_to_optimal,global_beliefs_and_dynamics,baseline,0.08825199895268976,0.002857967577134496,0.012992082336091282,1608,0.028530383455529485,0.12607003833902478,0.00077687847286558,0.007872431782608366,0.0061161291176056965,0.02838237436333501
suboptimal_to_optimal,action_conditioned,prevalence_baseline,-0.1297959759118648,0.0023452364922082747,0.012077474395591092,1608,-0.20235589164639065,-0.06838913226576285,0.0010465243466258399,0.003027003792803834,0.003986087181429611,0.015174340154821216
suboptimal_to_optimal,action_conditioned,baseline,-0.013933254113713711,0.0015134167328225423,0.007610749390093541,1608,-0.04693701817041387,0.06580166136170945,-2.718701464630119e-05,0.002470618732057047,-0.0012274532190109779,0.011879985376875105
suboptimal_to_optimal,combined,prevalence_baseline,-0.052528649976838315,0.0036760042924079556,0.016360055049870426,1608,-0.17105025396504636,0.0077674083169479114,0.0013178283632274805,0.009108052058793337,0.008083534701119038,0.03300855640573143
suboptimal_to_optimal,combined,baseline,0.06333407182131279,0.002844184533022223,0.011893330044372874,1608,-0.009844052439826036,0.11053288032734884,0.000574747435188545,0.007920087941554051,0.0037738947676373715,0.026575340846036105
suboptimal_to_optimal,belief_action_chain,prevalence_baseline,-0.05312078306579926,0.0037033904769825793,0.016473081437179016,1608,-0.17130836372789177,0.008850113080667575,0.0013343299536228773,0.009157877336072423,0.008161946758887508,0.033135249114627854
suboptimal_to_optimal,belief_action_chain,baseline,0.06274193873235184,0.002871570717596847,0.012006356431681464,1608,-0.009182069450387752,0.10986794779638838,0.0005913883730219799,0.007943280360920835,0.003922189159000176,0.026424751933819428
