example_id,trajectory_id,matched_role,trajectory_class,pre_action_entropy_mean,commitment_action_entropy,post_action_entropy_mean,pre_action_confidence_mean,commitment_action_confidence,post_action_confidence_mean,pre_state_belief_entropy_mean,commitment_state_belief_entropy,post_state_belief_entropy_mean,pre_low_action_entropy_rate,n_pre_prefixes,n_post_prefixes,delta_commitment_minus_pre_action_entropy,delta_post_minus_pre_action_entropy,delta_post_minus_pre_action_confidence,delta_post_minus_pre_state_belief_entropy
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_006,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,control,suboptimal_success,0.5094636261207647,0.1422794954151995,0.10887608548657612,0.8774273276329041,0.980362594127655,0.985711669921875,0.40128393657360145,0.5414517289680212,0.5331406174023685,0.2,5,5,-0.3671841307055652,-0.40058754063418855,0.10828434228897088,0.13185668082876706
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_007,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,failure,suboptimal_success,0.9434353027881427,0.030762874446468,0.05464571794926554,0.6936220288276672,0.9972090125083924,0.9944052457809448,0.8327337969617297,0.555363805502658,0.6323452211341556,0.0,5,5,-0.9126724283416747,-0.8887895848388772,0.3007832169532776,-0.20038857582757408
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,control,suboptimal_success,1.0990168468806194,0.1814299708268205,0.394350953118061,0.6167015612125397,0.9726222157478333,0.9017610073089599,0.42871398650965215,0.3173484921516462,0.26015941520323926,0.0,5,5,-0.9175868760537988,-0.7046658937625584,0.2850594460964202,-0.16855457130641288
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_011,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,failure,suboptimal_success,0.6093148880711652,0.9248919682760228,0.7152448157706025,0.7575603723526001,0.670616626739502,0.7761683225631714,0.07820535265663367,0.1197048358161838,0.09078370652468618,0.2,5,5,0.31557708020485764,0.10592992769943732,0.018607950210571267,0.012578353868052505
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_19_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_19,control,optimal_success,0.3697182168980552,0.4361171358849505,0.00489397395003166,0.8899309873580933,0.910528004169464,0.9996074557304382,0.3750940177681644,0.2860721089844444,0.23929210623670144,0.0,5,5,0.06639891898689532,-0.3648242429480235,0.1096764683723449,-0.13580191153146298
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20_step_008,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20,control,suboptimal_success,0.7274073729515073,0.1409649580515844,0.14770751930143503,0.7907031655311585,0.981818914413452,0.9804539918899536,0.364846205372668,0.3241027657779007,0.1890037780157066,0.0,5,5,-0.5864424148999229,-0.5796998536500723,0.18975082635879514,-0.17584242735696137
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_21_step_009,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_21,control,optimal_success,0.3735322117952925,1.0144278228966863,0.20119972740235842,0.9152784705162048,0.5434750318527222,0.9327998161315918,0.49366289111032097,0.454118025444562,0.39137551879420657,0.4,5,5,0.6408956111013938,-0.17233248439293408,0.017521345615386985,-0.1022873723161144
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_23_step_006,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_23,control,optimal_success,1.15003763236509,1.4547232865257378,1.0182038926658865,0.701001238822937,0.612810492515564,0.7484534859657288,0.22540449191641296,0.1395852967183198,0.12740918204591614,0.0,5,5,0.30468565416064775,-0.13183373969920353,0.04745224714279184,-0.09799530987049682
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_26_step_007,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_26,control,optimal_success,0.5868901062793538,1.0408315751929336,0.10047435517197148,0.7966303348541259,0.5834342837333679,0.9867515921592712,0.3001092462125322,0.3351336525946705,0.34936807644266976,0.2,5,5,0.4539414689135798,-0.48641575110738233,0.19012125730514529,0.04925883023013755
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_26_step_008,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_26,failure,optimal_success,1.2777360673972549,1.2337227935129986,0.1265679615909173,0.6017081499099731,0.6449939608573914,0.9756200462579727,0.4650092517681932,0.4691193957743068,0.20929673243210636,0.0,5,4,-0.04401327388425624,-1.1511681058063377,0.3739118963479996,-0.25571251933608685
