group,relative_commitment_offset,n_states,n_prefixes,median_action_entropy_bits,q25_action_entropy_bits,q75_action_entropy_bits,median_action_confidence,q25_action_confidence,q75_action_confidence,median_state_belief_entropy_bits,mean_sentence_char_length,mean_action_probability_sum
failure,-5,23,23,0.3901854088238238,0.1476114043748015,0.8632807033728049,0.923957347869873,0.7419798672199249,0.9796266853809357,0.4771804129586101,50.73913043478261,0.999999984650435
failure,-4,23,23,0.5971812599705758,0.20881193488883526,0.8503827725822455,0.8695080876350403,0.7687805593013763,0.9669896364212036,0.4668610254808659,45.0,0.9999999959212901
failure,-3,23,23,0.7724772404068482,0.0848070486613222,0.9484721109374166,0.776829183101654,0.6892794668674469,0.9890993237495422,0.3965268909162737,42.869565217391305,0.9999999946733485
failure,-2,23,23,0.8652626759017411,0.2097831919638547,0.950852695803979,0.7411685585975647,0.6963348090648651,0.967256486415863,0.4008113324432159,53.130434782608695,0.9999999967274656
failure,-1,23,23,0.9005232897905026,0.6543640760295502,0.9930622462182197,0.7070195078849792,0.5895361006259918,0.8313283026218414,0.36825918342471,47.26086956521739,1.0000000045244504
failure,0,23,23,0.6241313083022764,0.0287782635016587,0.8749698322553771,0.8560011386871338,0.7075674831867218,0.9974206387996674,0.3578951328331112,53.391304347826086,0.9999999883927945
failure,1,23,23,0.4351467064117367,0.0074524303606058,0.9283294222391865,0.9250394105911256,0.7327100336551666,0.999363124370575,0.3421195808646036,33.391304347826086,1.0000000104241538
failure,2,23,23,0.0616728669225228,0.0008641652477224999,0.6366743695443069,0.9937191009521484,0.8524367809295654,0.9999444484710693,0.3454314469620954,46.391304347826086,0.9999999835805198
failure,3,21,21,0.10562821465278,0.0057904565068946,0.6970170760270902,0.9862889051437378,0.8327369093894958,0.9995375871658324,0.3129440235495944,34.23809523809524,1.000000002018462
failure,4,21,21,0.0585781406031673,0.0002309426347258,0.4451075492946029,0.9937180280685424,0.9184529185295104,0.999987006187439,0.3238635777207375,36.904761904761905,1.0000000153292798
failure,5,18,18,0.1418775141001554,0.0077366213708618,0.5420300304744144,0.9803606569766998,0.8822816610336304,0.9994155317544938,0.4146243689225821,44.55555555555556,0.9999999832344647
failure,6,18,18,0.07382667108818936,0.007678546045976575,0.5949060089536989,0.9916162490844727,0.8567850142717361,0.9994201362133026,0.31042567383526787,45.0,0.9999999877699707
failure,7,17,17,0.0501769458896641,0.00265852038961,0.4042690195863839,0.9943846464157104,0.9393462538719176,0.9998241066932678,0.3592501199142973,40.05882352941177,1.0000000105117233
failure,8,16,16,0.01190650451926085,0.00120686583810915,0.42306191265647847,0.9988998770713806,0.9229937046766282,0.9999207556247712,0.32501107311974925,55.8125,1.000000007869655
failure,9,16,16,0.015574895407711,0.000819721665292975,0.33002742687594344,0.9984879195690156,0.9458128660917281,0.9999492466449736,0.4156752567826298,41.0,0.9999999921961735
failure,10,15,15,0.0108664402015699,0.0002627658748313,0.21058274888038708,0.9990549683570862,0.9683389067649842,0.9999850392341614,0.3633747652303356,44.6,0.9999999862434137
control,-10,21,21,0.3494028861386282,0.1582243940277251,0.6439391158454505,0.9353452324867249,0.8711264729499817,0.97700172662735,0.3923125993083093,34.42857142857143,1.0000000187100146
control,-9,21,21,0.6058343628069272,0.126275374391152,0.8356505596843428,0.8694801330566406,0.7437542080879211,0.9832661151885986,0.3611451826254268,32.523809523809526,1.0000000008532726
control,-8,21,21,0.3899106925135593,0.1381161754085883,0.951091146880764,0.9314587116241456,0.6574814915657043,0.9806684851646424,0.3774178536588589,35.142857142857146,0.99999999104531
control,-7,21,21,0.3894317959594091,0.1583157189064352,0.978295548122621,0.924016296863556,0.5883126854896545,0.9769962430000304,0.339327933311544,53.80952380952381,0.9999999875320376
control,-6,22,22,0.3686810515335341,0.13966328405941936,0.9485069427022002,0.9280024170875549,0.7376350462436676,0.9835191220045091,0.3391650870808065,29.727272727272727,1.000000000619061
control,-5,22,22,0.3275170384189402,0.10035032079074876,0.8832072948861381,0.948004424571991,0.775960311293602,0.9869223833084106,0.40812249127946254,51.77272727272727,1.0000000003701437
control,-4,22,22,0.4895795662919091,0.2013768137511388,0.9428934195855351,0.900902658700943,0.6789696365594864,0.9705906957387924,0.3641607727493875,31.545454545454547,1.0000000048127242
control,-3,22,22,0.5484290066413856,0.17206708196616055,0.963234171986649,0.8766528367996216,0.6407820880413055,0.9782567918300629,0.3822639074536448,41.90909090909091,0.9999999960391673
