event_family,target_shift_type,question_id,question_family,n_events,n_candidate_belief_shifts,events_with_leading_shift,leading_event_coverage,events_with_coincident_shift,coincident_event_coverage,events_with_lagging_shift,lagging_event_coverage,events_with_any_nearby_shift,any_nearby_event_coverage,shifts_followed_by_target_event,leading_indicator_precision,leading_indicator_false_alarm_rate
optimal_to_suboptimal,belief_error_onset,wall_right,wall_directional,25,6,2,0.08,1,0.04,2,0.08,4,0.16,3,0.5,0.5
optimal_to_suboptimal,belief_error_onset,wall_up,wall_directional,25,14,1,0.04,1,0.04,2,0.08,3,0.12,2,0.14285714285714285,0.8571428571428572
suboptimal_to_optimal,belief_error_recovery,agent_location,coordinates,29,43,3,0.10344827586206896,3,0.10344827586206896,2,0.06896551724137931,7,0.2413793103448276,6,0.13953488372093023,0.8604651162790697
suboptimal_to_optimal,belief_error_recovery,door_open,core,29,87,7,0.2413793103448276,5,0.1724137931034483,11,0.3793103448275862,19,0.6551724137931034,12,0.13793103448275862,0.8620689655172413
suboptimal_to_optimal,belief_error_recovery,door_open_after_down,action_effects,29,6,1,0.034482758620689655,0,0.0,0,0.0,1,0.034482758620689655,1,0.16666666666666666,0.8333333333333334
suboptimal_to_optimal,belief_error_recovery,door_open_after_left,action_effects,29,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,door_open_after_right,action_effects,29,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,door_open_after_up,action_effects,29,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,goal_location,coordinates,29,31,2,0.06896551724137931,1,0.034482758620689655,3,0.10344827586206896,6,0.20689655172413793,3,0.0967741935483871,0.9032258064516129
suboptimal_to_optimal,belief_error_recovery,has_key,core,29,8,1,0.034482758620689655,1,0.034482758620689655,1,0.034482758620689655,2,0.06896551724137931,2,0.25,0.75
suboptimal_to_optimal,belief_error_recovery,has_key_after_down,action_effects,29,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,has_key_after_left,action_effects,29,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,has_key_after_up,action_effects,29,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,hit_wall_after_down,action_effects,29,22,0,0.0,2,0.06896551724137931,4,0.13793103448275862,5,0.1724137931034483,2,0.09090909090909091,0.9090909090909091
suboptimal_to_optimal,belief_error_recovery,hit_wall_after_left,action_effects,29,32,0,0.0,2,0.06896551724137931,5,0.1724137931034483,5,0.1724137931034483,2,0.0625,0.9375
suboptimal_to_optimal,belief_error_recovery,hit_wall_after_right,action_effects,29,22,0,0.0,2,0.06896551724137931,2,0.06896551724137931,3,0.10344827586206896,2,0.09090909090909091,0.9090909090909091
suboptimal_to_optimal,belief_error_recovery,hit_wall_after_up,action_effects,29,21,1,0.034482758620689655,0,0.0,0,0.0,1,0.034482758620689655,1,0.047619047619047616,0.9523809523809523
suboptimal_to_optimal,belief_error_recovery,wall_down,wall_directional,29,31,3,0.10344827586206896,3,0.10344827586206896,6,0.20689655172413793,10,0.3448275862068966,6,0.1935483870967742,0.8064516129032258
suboptimal_to_optimal,belief_error_recovery,wall_left,wall_directional,29,8,1,0.034482758620689655,3,0.10344827586206896,0,0.0,4,0.13793103448275862,4,0.5,0.5
suboptimal_to_optimal,belief_error_recovery,wall_right,wall_directional,29,6,1,0.034482758620689655,1,0.034482758620689655,1,0.034482758620689655,2,0.06896551724137931,2,0.3333333333333333,0.6666666666666667
suboptimal_to_optimal,belief_error_recovery,wall_up,wall_directional,29,16,1,0.034482758620689655,2,0.06896551724137931,1,0.034482758620689655,3,0.10344827586206896,3,0.1875,0.8125
