layer,representation_kind,outcome_class,metric,n_rows,mean,minimum,maximum
16,chunk_sampled_token_mean,mixed or transient suboptimality,update_norm,88,1171.602293508026,509.57568077316137,2181.8253540556784
18,chunk_sampled_token_mean,all valid recommendations optimal,adjacent_step_cosine,146,0.9160277591723639,0.7225584095863655,0.9827521344497323
18,chunk_sampled_token_mean,all valid recommendations optimal,aligned_change,146,0.03526509326961942,-0.47999550390195195,0.8430325014104234
18,chunk_sampled_token_mean,all valid recommendations optimal,optimality_anchor_cosine,151,0.9469179839411977,0.808309052640713,0.9907832913769457
18,chunk_sampled_token_mean,all valid recommendations optimal,update_norm,146,2647.0155124564967,995.050545309068,5573.840155910839
18,chunk_sampled_token_mean,mixed or transient suboptimality,adjacent_step_cosine,88,0.9377374940213151,0.8117277729858964,0.9887687656609304
18,chunk_sampled_token_mean,mixed or transient suboptimality,aligned_change,88,0.03851813780872348,-0.35340749692921675,0.5676060754390444
18,chunk_sampled_token_mean,mixed or transient suboptimality,optimality_anchor_cosine,91,0.9460335499048397,0.862555212203118,0.9806122337616148
18,chunk_sampled_token_mean,mixed or transient suboptimality,update_norm,88,2164.215832264969,857.4400914457092,4326.908414628064
20,chunk_sampled_token_mean,all valid recommendations optimal,adjacent_step_cosine,146,0.915068452534793,0.7060558221670128,0.9863434118603934
20,chunk_sampled_token_mean,all valid recommendations optimal,aligned_change,146,0.03449789082037852,-0.45030869558019687,0.8299057846387407
20,chunk_sampled_token_mean,all valid recommendations optimal,optimality_anchor_cosine,151,0.9479684260199588,0.8091146861508605,0.9901738129084113
20,chunk_sampled_token_mean,all valid recommendations optimal,update_norm,146,4766.119724618197,1653.5229393752038,10238.564965032721
20,chunk_sampled_token_mean,mixed or transient suboptimality,adjacent_step_cosine,88,0.940410020071054,0.8128153877458333,0.9904131783869639
20,chunk_sampled_token_mean,mixed or transient suboptimality,aligned_change,88,0.03557804984540441,-0.37280720180626814,0.613087761053042
20,chunk_sampled_token_mean,mixed or transient suboptimality,optimality_anchor_cosine,91,0.9497513681651707,0.8593783506892121,0.9810255384458821
20,chunk_sampled_token_mean,mixed or transient suboptimality,update_norm,88,3788.342288613868,1492.781376858848,7592.1236567592705
22,chunk_sampled_token_mean,all valid recommendations optimal,adjacent_step_cosine,146,0.940079912112367,0.7942285736121241,0.9878317751856758
22,chunk_sampled_token_mean,all valid recommendations optimal,aligned_change,146,0.033591901190210154,-0.5179228852096667,0.8217582509377369
22,chunk_sampled_token_mean,all valid recommendations optimal,optimality_anchor_cosine,151,0.9631290329891216,0.8702167719785573,0.9941462465672191
22,chunk_sampled_token_mean,all valid recommendations optimal,update_norm,146,7276.419542011729,3037.1819993666545,15065.144008603913
22,chunk_sampled_token_mean,mixed or transient suboptimality,adjacent_step_cosine,88,0.9600823612983463,0.8650342702055296,0.9937667524265825
22,chunk_sampled_token_mean,mixed or transient suboptimality,aligned_change,88,0.0329381786097527,-0.38306674217024395,0.6064196969401549
22,chunk_sampled_token_mean,mixed or transient suboptimality,optimality_anchor_cosine,91,0.9660782823498671,0.8935419427706455,0.9883150937636883
22,chunk_sampled_token_mean,mixed or transient suboptimality,update_norm,88,5690.721697079234,2226.8055872441737,11492.645910892708
